DESCRIPTION,FAMILY_ID,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir
OG0000409,353,9,8,3,2
OG0000410,354,8,8,5,2
OG0000411,355,2,5,3,3
OG0000412,356,5,8,4,3
OG0000413,357,14,0,2,4
OG0000414,358,6,3,14,2
OG0000415,359,10,3,1,5
OG0000416,360,6,6,8,4
OG0000417,361,0,4,2,4
OG0000418,362,6,8,5,3
OG0000419,363,3,1,5,12
OG0000420,364,7,5,2,2
OG0000421,365,7,6,6,4
OG0000422,366,5,9,2,9
OG0000423,367,7,3,2,2
OG0000424,368,0,1,1,17
OG0000426,369,4,2,10,1
OG0000427,370,4,5,9,4
OG0000428,371,3,5,3,5
OG0000429,372,1,2,1,11
OG0000430,373,1,18,1,1
OG0000431,374,1,2,1,2
OG0000432,375,7,3,4,11
OG0000433,376,16,0,1,5
OG0000434,377,7,8,3,7
OG0000435,378,11,6,3,3
OG0000436,379,8,3,1,7
OG0000437,380,8,12,4,1
OG0000439,381,0,3,0,8
OG0000440,382,2,11,0,3
OG0000441,383,1,11,0,1
OG0000445,384,1,1,3,8
OG0000446,385,2,2,4,3
OG0000447,386,1,1,1,14
OG0000448,387,2,2,4,2
OG0000449,388,5,4,8,3
OG0000450,389,7,9,4,4
OG0000452,390,1,0,8,7
OG0000453,391,2,0,1,9
OG0000455,392,8,7,3,2
OG0000456,393,10,5,2,1
OG0000457,394,4,5,5,8
OG0000458,395,3,15,3,3
OG0000459,396,5,5,4,5
OG0000460,397,9,6,4,5
OG0000461,398,5,4,2,11
OG0000462,399,7,5,3,2
OG0000463,400,5,10,1,2
OG0000464,401,1,1,1,12
OG0000465,402,1,4,1,3
OG0000466,403,1,3,3,11
OG0000467,404,12,5,2,1
OG0000468,405,3,5,4,6
OG0000469,406,1,8,0,1
OG0000470,407,1,13,0,2
OG0000471,408,0,6,0,2
OG0000472,409,1,2,0,20
OG0000474,410,11,2,3,3
OG0000475,411,7,7,5,4
OG0000476,412,4,5,7,2
OG0000477,413,6,4,9,1
OG0000478,414,2,8,4,2
OG0000479,415,1,1,2,6
OG0000480,416,2,5,1,1
OG0000481,417,2,9,5,1
OG0000482,418,4,2,2,1
OG0000483,419,0,1,2,9
OG0000484,420,1,1,1,7
OG0000485,421,9,2,3,9
OG0000486,422,5,2,12,4
OG0000487,423,9,2,6,1
OG0000488,424,2,2,3,6
OG0000489,425,0,0,3,10
OG0000490,426,5,5,8,4
OG0000491,427,8,3,4,3
OG0000492,428,10,2,2,7
OG0000493,429,11,2,2,1
OG0000494,430,9,2,8,2
OG0000496,431,9,3,3,1
OG0000497,432,3,5,3,2
OG0000498,433,6,4,8,5
OG0000499,434,4,4,10,2
OG0000500,435,1,16,2,2
OG0000501,436,1,1,3,3
OG0000502,437,5,1,6,10
OG0000503,438,3,3,2,1
OG0000504,439,6,3,5,9
OG0000505,440,6,4,2,4
OG0000506,441,4,1,3,2
OG0000507,442,8,1,3,3
OG0000508,443,4,5,2,1
OG0000509,444,0,6,3,4
OG0000511,445,9,7,3,3
OG0000512,446,6,11,3,3
OG0000513,447,1,2,2,14
OG0000514,448,4,5,4,8
OG0000516,449,8,3,0,3
OG0000518,450,2,8,0,6
OG0000520,452,2,0,1,1
OG0000522,453,1,3,6,3
OG0000523,454,3,2,1,14
OG0000524,455,6,4,3,5
OG0000525,456,2,1,3,2
OG0000526,457,4,1,10,1
OG0000527,458,1,0,5,3
OG0000528,459,0,9,1,1
OG0000529,460,1,12,2,1
OG0000530,461,1,1,9,1
OG0000531,462,4,5,5,1
OG0000532,463,6,2,4,4
OG0000534,464,1,3,9,3
OG0000535,465,2,3,3,3
OG0000537,466,3,11,2,6
OG0000538,467,8,6,4,1
OG0000539,468,4,9,1,1
OG0000540,469,8,6,5,3
OG0000541,470,3,6,11,2
OG0000542,471,7,5,2,1
OG0000543,472,3,2,1,5
OG0000544,473,1,3,2,6
OG0000545,474,6,4,5,2
OG0000546,475,1,2,1,14
OG0000547,476,6,6,5,5
OG0000548,477,1,1,2,5
OG0000549,478,6,0,1,13
OG0000550,479,5,9,2,6
OG0000551,480,3,4,5,9
OG0000552,481,1,19,0,2
OG0000554,482,1,1,0,15
OG0000555,483,1,9,0,2
OG0000557,484,0,1,0,5
OG0000558,485,8,5,0,6
OG0000560,486,5,2,2,4
OG0000561,487,9,3,3,1
OG0000562,488,4,1,4,2
OG0000563,489,2,5,6,1
OG0000564,490,3,4,2,6
OG0000566,491,4,9,2,3
OG0000567,492,1,0,1,1
