DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000506,105,8,7,6,6,9,12,6,6,6,6,13,3,3,2,3,2
OG0000507,106,10,7,7,6,13,14,6,6,6,5,15,5,3,4,4,1
OG0000508,107,12,8,8,4,8,8,7,6,7,8,9,7,8,10,7,0
OG0000509,108,9,7,7,7,9,11,6,6,7,7,4,7,7,4,10,7
OG0000511,109,5,4,4,3,5,6,4,4,4,5,10,11,11,12,16,5
OG0000512,110,12,7,7,7,9,11,6,1,6,6,10,4,4,6,5,5
OG0000513,111,9,7,6,6,12,12,5,7,7,7,15,6,5,2,5,4
OG0000514,112,8,6,7,6,9,8,7,7,7,7,7,3,3,1,5,7
OG0000515,113,8,6,5,5,8,9,9,7,8,9,14,3,2,5,2,2
OG0000523,114,1,6,6,6,7,12,8,6,6,6,6,4,7,5,16,11
OG0000524,115,8,5,6,4,5,6,5,5,7,6,6,4,5,6,11,1
OG0000525,116,11,8,11,4,8,15,6,5,5,5,8,3,4,6,10,2
OG0000527,117,10,6,6,6,7,10,8,6,10,7,9,8,5,6,3,4
OG0000528,118,7,6,5,4,7,14,2,2,7,12,4,7,6,6,11,3
OG0000530,119,7,5,4,3,7,6,7,8,8,8,4,10,7,4,10,7
OG0000533,120,8,4,2,2,2,6,10,3,9,3,11,13,4,2,4,3
OG0000534,121,7,7,6,6,9,10,7,7,8,7,8,6,8,5,4,2
OG0000537,122,7,8,9,8,10,12,6,5,5,3,7,3,5,3,2,5
OG0000538,123,8,4,4,4,6,9,4,4,5,4,6,5,4,7,1,3
OG0000539,124,6,7,8,6,7,11,4,3,5,6,6,4,12,2,2,4
OG0000541,125,8,5,3,3,4,5,7,8,8,11,7,4,16,9,8,5
OG0000542,126,5,5,5,3,7,9,8,5,6,6,15,5,6,7,6,3
OG0000544,127,7,6,7,6,9,11,6,4,7,6,12,5,3,3,3,4
OG0000545,128,8,6,5,4,7,11,5,5,5,5,10,6,10,3,4,0
OG0000546,129,7,6,6,6,9,6,5,6,6,6,6,4,6,8,9,0
OG0000547,130,7,8,6,6,10,11,5,4,5,5,11,8,6,5,5,6
OG0000550,131,10,8,8,8,13,12,8,6,7,7,7,4,3,5,2,3
OG0000552,132,3,6,5,6,8,10,4,5,5,3,13,5,6,6,6,3
OG0000553,133,8,4,11,5,6,6,6,6,8,12,9,3,7,4,7,4
OG0000555,134,8,5,5,5,8,9,8,8,8,8,13,3,2,2,3,5
OG0000558,135,12,7,10,7,10,14,5,6,5,5,12,1,2,2,3,8
OG0000559,136,9,5,6,7,8,9,4,4,4,4,7,10,6,2,7,6
OG0000560,137,7,5,5,4,7,11,9,10,10,10,5,6,6,6,6,1
OG0000561,138,5,3,3,2,2,4,6,2,5,6,2,14,5,10,5,7
OG0000562,139,7,6,7,6,8,10,9,8,9,8,10,3,3,2,4,4
OG0000565,140,4,3,2,4,6,5,9,8,8,10,8,7,5,5,6,14
OG0000566,141,4,4,4,4,8,8,5,7,7,4,20,3,5,4,5,3
OG0000567,142,0,2,8,3,2,8,7,5,15,13,5,8,11,4,13,4
OG0000570,143,7,7,7,7,14,15,5,4,5,5,10,1,2,2,1,7
OG0000572,144,6,6,6,6,7,8,6,7,7,8,7,7,6,5,7,7
OG0000573,145,7,5,6,6,9,12,4,5,6,5,8,5,7,6,7,3
OG0000576,146,4,5,4,7,4,9,3,6,5,10,6,1,6,1,3,11
OG0000582,147,4,5,5,5,10,11,7,9,7,5,8,1,2,1,2,2
OG0000584,148,2,3,2,2,4,3,2,2,2,4,4,1,1,2,1,4
OG0000586,149,8,7,7,8,9,6,7,4,4,3,7,4,3,4,0,3
OG0000587,150,6,7,9,9,8,15,8,5,7,5,5,5,3,9,4,0
OG0000588,151,8,6,6,4,9,9,4,5,5,5,7,9,2,5,3,7
OG0000592,152,9,4,7,5,4,8,5,7,6,6,4,4,8,3,4,21
OG0000593,153,6,8,4,5,9,11,7,7,7,4,14,3,4,5,5,4
OG0000595,154,7,6,12,5,9,8,5,5,9,7,8,4,6,5,6,2
OG0000597,155,7,6,6,6,10,9,7,7,7,6,9,4,5,5,4,4
OG0000600,156,6,4,4,4,6,7,3,4,4,4,9,4,8,7,2,0
OG0000601,157,5,6,5,5,4,10,5,3,3,5,5,9,12,8,15,4
OG0000602,158,10,7,7,5,7,9,6,3,5,6,7,2,8,4,5,10
OG0000603,159,4,4,5,5,6,8,8,9,11,8,1,10,0,11,2,8
OG0000604,160,3,7,5,6,15,2,6,3,7,8,1,3,10,3,8,1
OG0000605,161,7,9,5,7,4,9,4,3,3,2,1,13,10,3,6,2
OG0000607,162,7,4,4,4,7,9,9,8,8,10,5,8,6,4,7,0
OG0000608,163,10,2,3,4,7,10,1,8,8,7,1,6,3,1,2,1
OG0000609,164,6,4,4,4,7,5,5,6,7,6,8,9,12,5,4,5
OG0000611,165,6,6,6,6,10,12,5,5,6,6,12,2,5,4,8,2
OG0000614,166,5,5,6,7,8,9,3,3,3,2,2,9,11,7,8,6
OG0000617,167,4,5,4,4,8,10,7,5,6,3,12,6,3,2,1,4
OG0000619,168,5,5,6,5,7,7,6,7,7,6,7,6,1,7,6,2
OG0000622,169,5,7,8,4,9,10,7,7,7,7,6,5,7,5,5,3
OG0000623,170,2,7,7,4,6,10,6,5,7,7,9,3,6,4,9,3
OG0000626,171,8,4,5,3,5,5,10,9,8,8,8,5,4,6,8,3
OG0000627,172,3,11,12,5,7,11,3,3,3,3,9,3,8,3,5,3
OG0000628,173,6,5,5,4,6,7,5,4,5,5,7,11,10,6,10,2
OG0000629,174,6,4,5,4,4,9,6,7,7,7,3,3,8,5,6,6
OG0000634,175,7,2,6,3,6,8,4,5,4,2,8,5,3,4,0,0
OG0000635,176,6,2,2,3,2,3,7,9,4,5,5,13,3,10,16,2
OG0000636,177,4,5,5,5,8,7,5,4,4,4,16,3,4,4,4,12
OG0000637,178,4,2,2,2,3,4,3,3,1,6,4,14,15,9,14,7
OG0000638,179,7,4,5,6,9,7,6,5,5,6,11,6,5,6,6,2
OG0000640,180,5,8,7,6,10,11,3,3,3,3,12,7,6,6,4,2
OG0000641,181,8,5,7,5,8,7,4,6,11,10,8,6,3,4,6,3
OG0000642,182,2,3,5,3,7,3,6,4,4,1,3,6,4,6,10,2
OG0000646,183,6,3,4,4,2,7,8,6,7,6,16,2,6,4,2,2
OG0000647,184,5,4,4,4,6,5,9,9,6,6,9,1,3,3,5,10
OG0000648,185,7,7,8,5,13,5,5,7,8,7,7,4,6,4,7,0
OG0000649,186,5,4,5,5,4,3,6,4,5,5,7,4,1,9,9,4
OG0000650,187,8,1,5,1,2,2,5,2,2,3,1,1,5,6,1,1
OG0000651,188,6,6,5,5,10,9,5,6,6,5,17,2,3,5,5,2
OG0000654,189,9,6,6,11,9,14,5,5,5,5,8,3,3,3,3,2
OG0000655,190,6,4,3,4,8,8,5,4,5,5,11,2,4,2,2,4
OG0000656,191,6,3,3,3,5,6,7,7,8,7,14,3,5,4,1,0
OG0000657,192,6,4,4,4,6,6,4,5,5,5,7,8,2,3,5,9
OG0000659,193,6,6,6,6,12,12,5,5,4,5,13,2,5,3,3,2
OG0000660,194,7,4,7,5,11,11,7,7,7,7,11,2,2,2,2,2
OG0000661,195,5,5,5,5,7,9,5,6,5,5,9,6,10,8,4,2
OG0000666,196,4,4,4,4,6,5,3,3,3,3,5,1,8,8,5,5
OG0000667,197,5,8,4,7,2,13,9,7,15,9,2,1,2,1,1,1
OG0000671,198,5,3,3,1,4,5,4,5,5,4,7,2,4,3,4,3
OG0000672,199,7,5,5,4,8,10,6,6,6,6,11,5,3,3,3,7
OG0000674,200,4,6,13,6,7,8,5,1,7,6,5,1,3,7,3,3
OG0000675,201,5,5,6,5,8,10,6,6,6,6,10,3,6,6,7,2
OG0000677,202,6,4,4,4,7,7,5,6,5,3,2,6,5,5,7,6
OG0000678,203,4,4,4,3,8,7,5,5,5,4,9,2,4,3,2,8
OG0000679,204,3,6,3,6,5,5,4,3,7,6,5,10,13,5,13,1
OG0000680,205,11,3,4,4,6,7,8,8,11,9,10,2,4,4,3,2
OG0000681,206,5,5,4,4,9,9,7,7,7,7,17,3,2,6,1,1
OG0000682,207,6,6,3,4,5,5,5,3,6,6,12,8,9,7,3,4
OG0000685,208,7,3,2,3,8,11,4,3,6,5,17,3,3,3,3,3
OG0000686,209,6,4,3,4,8,7,6,6,9,8,10,6,6,5,6,2
OG0000688,210,4,6,4,5,5,2,3,3,2,2,5,12,10,10,7,0
OG0000689,211,4,5,5,4,7,8,5,5,5,5,10,3,3,3,10,2
OG0000692,212,7,4,9,1,4,5,6,5,6,4,7,6,5,8,4,0
OG0000693,213,5,5,7,5,6,4,5,5,5,8,7,9,11,7,6,0
OG0000696,214,4,5,4,5,9,5,5,6,6,6,9,5,13,5,5,2
OG0000697,215,6,5,5,5,10,10,5,4,4,6,9,2,2,2,6,5
OG0000699,216,5,3,3,3,5,7,5,5,5,5,7,6,4,6,4,0
